"","NAWQA_ID","SuCode","SuCode2","R17503","P17503","R82303","P82303","KPb210"
"1","BISCPAS1-03","biscpas1","bisc",NA,0.56,NA,210,1500
"2","BISCPAS1-14","biscpas1","bisc",NA,0.39,NA,508,5210.25641025641
"3","BISCPAS1-17","biscpas1","bisc",NA,0.53,NA,299,2256.60377358491
"4","BISCPAS1-25","biscpas1","bisc",NA,1.02,NA,389,1525.49019607843
"5","BISCPAS1-29","biscpas1","bisc",NA,0.7,NA,381,2177.14285714286
"6","BISCPAS1-33","biscpas1","bisc",NA,1.01,NA,212,839.60396039604
"7","BNRCPAS1-01","bnrcpas1","bnrc",NA,0.41,NA,91,887.804878048781
"8","BNRCPAS1-02","bnrcpas1","bnrc",NA,0.4,NA,313,3130
"9","BNRCPAS1-07","bnrcpas1","bnrc",NA,0.41,NA,315,3073.17073170732
"10","BNRCPAS1-08","bnrcpas1","bnrc",NA,0.47,NA,389,3310.63829787234
"11","BNRCPAS1-11","bnrcpas1","bnrc",NA,0.43,NA,1057,9832.55813953488
"12","BNRCPAS1-12","bnrcpas1","bnrc",NA,0.5,NA,298,2384
"13","BNRCPAS1-14","bnrcpas1","bnrc",NA,0.56,NA,459,3278.57142857143
"14","BNRCPAS1-15","bnrcpas1","bnrc",NA,1.47,NA,6890,18748.2993197279
"15","BNRCPAS1-16","bnrcpas1","bnrc",NA,0.5,NA,532,4256
"16","BNRFPAS1-02","bnrfpas1","bnrf",NA,0.35,NA,436,4982.85714285714
"17","BNRFPAS1-03","bnrfpas1","bnrf",NA,0.38,NA,578,6084.21052631579
"18","BNRFPAS1-05","bnrfpas1","bnrf",NA,0.67,NA,268,1600
"19","BNRFPAS1-06","bnrfpas1","bnrf",NA,0.97,NA,1330,5484.53608247423
"20","BNRFPAS1-11","bnrfpas1","bnrf",NA,1.57,NA,1008,2568.15286624204
"21","BNRFPAS1-12","bnrfpas1","bnrf",NA,0.42,NA,365,3476.19047619048
"22","BNRFPAS1-13","bnrfpas1","bnrf",NA,0.81,NA,942,4651.85185185185
"23","BNRFPAS1-15","bnrfpas1","bnrf",NA,0.55,NA,555,4036.36363636364
"24","BNRFPAS1-18","bnrfpas1","bnrf",NA,0.37,NA,659,7124.32432432432
"25","BNRFPAS1-19","bnrfpas1","bnrf",NA,0.53,NA,491,3705.66037735849
"26","BNRFPAS1-20","bnrfpas1","bnrf",NA,0.89,NA,1140,5123.59550561798
"27","BNRFPAS1-21","bnrfpas1","bnrf",NA,0.97,NA,2690,11092.7835051546
"28","BNRFPAS1-23","bnrfpas1","bnrf",NA,0.9,NA,2580,11466.6666666667
"29","BNRFPAS1-25","bnrfpas1","bnrf",NA,0.44,NA,1311,11918.1818181818
"30","BNRFPAS1-28","bnrfpas1","bnrf",NA,0.96,NA,769,3204.16666666667
"31","BNRFPAS1-32","bnrfpas1","bnrf",NA,0.34,NA,369,4341.17647058824
"32","BNRFPAS1-33","bnrfpas1","bnrf",NA,0.85,NA,794,3736.47058823529
"33","BNRFPAS1-35","bnrfpas1","bnrf",NA,0.41,NA,380,3707.31707317073
"34","BNRFPAS1-36","bnrfpas1","bnrf",NA,1.33,NA,1174,3530.82706766917
"35","BNRFPAS1-39","bnrfpas1","bnrf",NA,0.49,NA,175,1428.57142857143
"36","BNRFPAS1-40","bnrfpas1","bnrf",NA,0.28,NA,563,8042.85714285714
"37","BNRFPAS1-42","bnrfpas1","bnrf",NA,0.67,NA,1067,6370.14925373134
"38","BNRFPAS1-43","bnrfpas1","bnrf",NA,0.37,NA,526,5686.48648648649
"39","BNRFPAS1-45","bnrfpas1","bnrf",NA,0.57,NA,1154,8098.24561403509
"40","BNRFPAS1-46","bnrfpas1","bnrf",NA,0.78,NA,1409,7225.64102564103
"41","BNRFPAS1-48","bnrfpas1","bnrf",NA,0.52,NA,350,2692.30769230769
"42","BNRFPAS1-50","bnrfpas1","bnrf",NA,0.29,NA,380,5241.37931034483
"43","BNRFPAS1-51","bnrfpas1","bnrf",NA,0.57,NA,1073,7529.82456140351
"44","BNRFPAS1-52","bnrfpas1","bnrf",NA,0.47,NA,315,2680.85106382979
"45","BNRFPAS1-55","bnrfpas1","bnrf",NA,0.48,NA,732,6100
"46","BNRFPAS1-56","bnrfpas1","bnrf",NA,0.6,NA,1132,7546.66666666667
"47","BNRFPAS1-58","bnrfpas1","bnrf",NA,0.62,NA,740,4774.1935483871
"48","BNRFPAS1-59","bnrfpas1","bnrf",NA,0.45,NA,228,2026.66666666667
"49","BNRFPAS1-60","bnrfpas1","bnrf",NA,0.42,NA,1140,10857.1428571429
"50","BNRFPAS1-64","bnrfpas1","bnrf",NA,0.5,NA,810,6480
"51","BNRFPAS1-66","bnrfpas1","bnrf",NA,0.49,NA,252,2057.14285714286
"52","BNRFPAS1-68","bnrfpas1","bnrf",NA,0.76,NA,2150,11315.7894736842
"53","BNRFPAS1-69","bnrfpas1","bnrf",NA,0.62,NA,886,5716.12903225806
"54","BNRFPAS1-70","bnrfpas1","bnrf",NA,0.52,NA,1091,8392.30769230769
"55","BNRFPAS1-71","bnrfpas1","bnrf",NA,0.69,NA,554,3211.59420289855
"56","BNRFPAS1-72","bnrfpas1","bnrf",NA,0.38,NA,811,8536.84210526316
"57","BNRFPAS1-73","bnrfpas1","bnrf",NA,1.99,NA,287,576.884422110553
"58","BNRFPAS1-74","bnrfpas1","bnrf",NA,0.42,NA,754,7180.95238095238
"59","BNRFPAS1-76","bnrfpas1","bnrf",NA,0.68,NA,847,4982.35294117647
"60","BNRFPAS1-77","bnrfpas1","bnrf",NA,0.86,NA,607,2823.25581395349
"61","CLOWPAS1-02","clowpas1","clow",NA,0.36,NA,1093,12144.4444444444
"62","CLOWPAS1-03","clowpas1","clow",NA,0.45,NA,487,4328.88888888889
"63","CLOWPAS1-04","clowpas1","clow",NA,1,NA,4170,16680
"64","CLOWPAS1-05","clowpas1","clow",NA,0.47,NA,1485,12638.2978723404
"65","CLOWPAS1-09","clowpas1","clow",NA,0.62,NA,275,1774.1935483871
"66","CLOWPAS1-10","clowpas1","clow",NA,0.6,NA,949,6326.66666666667
