SITE_NO	coords.x1	coords.x2	SUCode	DATES	TIMES	NetworkType	CYCLE	AGENCY_CD	DEC_LAT_VA	DEC_LONG_VA	WATER_USE_1_CD	AQFR_TYPE_CD	WELL_DEPTH_VA	HOLE_DEPTH_VA	NAT_AQFR_CD	DEPTH	R00618	P00618	R00613	P00613	R00631	P00631	X1974_LU11	X1974_LU12	X1974_LU21	X1974_LU22	X1974_LU23	X1974_LU24	X1974_LU25	X1974_LU26	X1974_LU27	X1974_LU31	X1974_LU32	X1974_LU33	X1974_LU41	X1974_LU43	X1974_LU44	X1974_LU45	X1974_LU50	X1974_LU60	X1982_LU11	X1982_LU12	X1982_LU21	X1982_LU22	X1982_LU23	X1982_LU24	X1982_LU25	X1982_LU26	X1982_LU27	X1982_LU31	X1982_LU32	X1982_LU33	X1982_LU41	X1982_LU43	X1982_LU44	X1982_LU45	X1982_LU50	X1982_LU60	X1992_LU11	X1992_LU12	X1992_LU21	X1992_LU22	X1992_LU23	X1992_LU24	X1992_LU25	X1992_LU26	X1992_LU27	X1992_LU31	X1992_LU32	X1992_LU33	X1992_LU41	X1992_LU43	X1992_LU44	X1992_LU45	X1992_LU50	X1992_LU60	X2002_LU11	X2002_LU12	X2002_LU21	X2002_LU22	X2002_LU23	X2002_LU24	X2002_LU25	X2002_LU26	X2002_LU27	X2002_LU31	X2002_LU32	X2002_LU33	X2002_LU41	X2002_LU43	X2002_LU44	X2002_LU45	X2002_LU50	X2002_LU60	X2012_LU11	X2012_LU12	X2012_LU21	X2012_LU22	X2012_LU23	X2012_LU24	X2012_LU25	X2012_LU26	X2012_LU27	X2012_LU31	X2012_LU32	X2012_LU33	X2012_LU41	X2012_LU43	X2012_LU44	X2012_LU45	X2012_LU50	X2012_LU60	NFert92_01	NConf92_97	Wet_n_ww_2002	Wet_n_ww_2012	Total_n_tw_2002	Total_n_tw_2012	PDEN1990_sqkm	PDEN2000_sqkm	PDEN2010_sqkm	avg_awc_mean	avg_bd_mean	avg_clay_mean	avg_ksat_mean	avg_kv_mean	avg_om_mean	avg_por_mean	avg_sand_mean	avg_silt_mean	DrnClass_4_mean	DrnClass_6_mean	DrnClass_8_mean	wtdep_min_mean	Rech_mmyr_SWB	Rech_mmyr_Reitz	QuaternaryThickness	Terrane	ROCKTYPE	MIN_AGE	UNIT_NAME	CMIN_AGE	MAX_EON	MAX_ERA	MAX_PERIOD	MAX_EPOCH	MIN_MA	MAX_MA	LITH_RANK	LITH1	LITH2	LITH3	TOTAL_LITH	PET	Runoff_Reitz	TWI	SubsurfContactTime	StreamDensity	StreamDistance	DTW_m_MODFLOW	VWC_MODFLOW	ResidTime_yrs_MODFLOW	depth_zone	LNO3
252624080302901	1568215.937	394458.5458	soflsus1	6/23/2009	2100	SUS	2	USGS	25.4404	-80.5078	P	U	60	NA	N400BISCYN	60		2.082		0.01728		2.099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118.6443685	0.108769962	3.343627	3.075015	9.925267	6.820805	1.448979592	5.081632653	9	0.184342988	1.396462504	30.35004069	13.10594991	13.07340495	10.54480082	47.30329997	24.38057454	45.2693929	0.158333333	0.158333333	0	163.0916667	NA	244.9793023	NA	NA	Sedimentary	Quaternary	Miami Limestone	Pleistocene	Phanerozoic	Cenozoic	Quaternary	Pleistocene	0.0117	2.58	Major	Sedimentary	Carbonate	Limestone	Sedimentary - Carbonate - Limestone	47.8494873	0.227458268	16.00707021	19870	0.110148112	2909.878569	0.239380078	13.0125998	0.131956156	deep	0.741461041
252842080290501	1569951.463	398998.404	soflsus1	1/27/1998	1600	SUS	1	USGS	25.4787	-80.4837	P	U	40	40	N400BISCYN	40		2.978	<	0.01		2.978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.561627119	0.002805165	3.438687	3.213593	9.938658	6.74979	2536.5	2836.46	3270.784314	0.057692313	1.399999873	20.65384725	78.74615885	78.74816081	1.423076757	47.16980794	38.54615479	40.8	0	55	0	92	NA	392.6915499	NA	NA	Sedimentary	Quaternary	Miami Limestone	Pleistocene	Phanerozoic	Cenozoic	Quaternary	Pleistocene	0.0117	2.58	Major	Sedimentary	Carbonate	Limestone	Sedimentary - Carbonate - Limestone	47.99310749	0.294228427	15.07878837	5219	0.106981063	3079.47471	0.333693409	13.91515692	0.119530417	deep	1.091251934
254154080214101	1578259.213	424844.4648	biscpau	11/30/2010	2300	Unkwn	9	USGS	25.6989	-80.3614	P	U	132	NA	N400BISCYN	132		NA		NA	<	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.402930934	0.00153631	3.611533	3.603089	15.71048	9.298153	2674.921569	2997.078431	2446.675889	0.042354564	1.40179702	4.033753476	90.81092757	90.80174126	0.37406999	47.10199285	88.48760262	7.47863873	2.3	4.583333333	0.1	77.92307692	NA	495.9751519	NA	NA	Sedimentary	Quaternary	Miami Limestone	Pleistocene	Phanerozoic	Cenozoic	Quaternary	Pleistocene	0.0117	2.58	Major	Sedimentary	Carbonate	Limestone	Sedimentary - Carbonate - Limestone	47.99310749	0.317301244	16.58470531	5219	0.112636316	166.133221	0.244898449	14.20690506	0.018338138	deep	-3.912023005
254156080214601	1578252.026	424887.7457	biscpau	12/1/2010	0	Unkwn	9	USGS	25.6993	-80.3614	P	U	132	NA	N400BISCYN	132		NA		NA	<	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.438004208	0.001574717	3.611533	3.603089	15.71048	9.298153	2519.707071	2811.636364	2405.139442	0.042489702	1.402396121	3.878337795	90.90130098	90.88896153	0.372347557	47.07938708	88.98319154	7.138467562	3.066666667	4.125	0.133333333	73.23076923	NA	509.5465199	NA	NA	Sedimentary	Quaternary	Miami Limestone	Pleistocene	Phanerozoic	Cenozoic	Quaternary	Pleistocene	0.0117	2.58	Major	Sedimentary	Carbonate	Limestone	Sedimentary - Carbonate - Limestone	47.99310749	0.317301244	16.38988709	5219	0.11272905	187.846398	0.243937264	14.20930316	0.018338138	deep	-3.912023005
254201080281701	1567245.152	423222.1124	soflsus1	6/23/2009	1700	SUS	2	USGS	25.7007	-80.4712	P	U	100	NA	N400BISCYN	100	<	0.04	<	0.002	<	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172.2000907	0.188334624	3.577872	3.289876	13.43549	8.682095	1.623762376	32.47524752	10.71484375	0.115070375	1.35496975	17.50527021	21.56493334	21.52332854	13.53913009	48.86905992	39.9586454	42.53609246	3.090909091	80	8.363636364	61	NA	258.4391276	NA	NA	Sedimentary	Quaternary	Miami Limestone	Pleistocene	Phanerozoic	Cenozoic	Quaternary	Pleistocene	0.0117	2.58	Major	Sedimentary	Carbonate	Limestone	Sedimentary - Carbonate - Limestone	47.99310593	0.298072428	17.03571429	12982.14286	0.15713801	1019.336256	0.088427934	13.29363268	0.108402613	deep	-3.218875825
254207080202201	1580457.376	425654.5193	soflsus1	2/10/1998	1500	SUS	1	USGS	25.7029	-80.3387	P	U	98	NA	N400BISCYN	98		0.185	<	0.01		0.185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.611533	3.603089	15.71048	9.298153	1561.85	1877.54	1668.608696	0.039999994	1.399999873	2.5	92	92	0.25	47.16980794	93	4.5	0	0	0	NA	NA	571.8480114	NA	NA	Sedimentary	Quaternary	Miami Limestone	Pleistocene	Phanerozoic	Cenozoic	Quaternary	Pleistocene	0.0117	2.58	Major	Sedimentary	Carbonate	Limestone	Sedimentary - Carbonate - Limestone	48.25452271	0.338141084	12.71010027	5219	0.112508419	1147.630578	1.647819882	14.33717091	0.439127181	deep	-1.687399454
254958080171601	1583235.336	440664.8317	soflsus1	2/12/1998	1600	SUS	1	USGS	25.8337	-80.2873	P		95	NA	N400BISCYN	95		0.083	<	0.01		0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.887059	3.389927	19.892	12.94464	5235.908163	5497.173469	5837.802419	0.039999993	1.3999999	2.5	92	92	0.25	47.16980981	93	4.5	0	0	0	NA	NA	634.4352509	NA	NA	Sedimentary	Quaternary	Miami Limestone	Pleistocene	Phanerozoic	Cenozoic	Quaternary	Pleistocene	0.0117	2.58	Major	Sedimentary	Carbonate	Limestone	Sedimentary - Carbonate - Limestone	47.99310593	0.467297435	16.175	5219	0.170007396	579.226237	0.027879134	14.4296984	0.005593204	deep	-2.488914671
255052080245001	1570354.163	440137.2024	soflsus1	3/18/1998	1700	SUS	1	USGS	25.8482	-80.4137	P	U	80	NA	N400BISCYN	80	<	0.031		0.019	<	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.626972	3.395707	17.97068	11.19078	16	29	0	0.365675114	0.329557592	29.756521	90.28530152	90.17448993	74.5435902	87.56386396	1.79555542	68.44792969	1.652892562	0	97.52066116	NA	NA	164.6984049	NA	NA	Sedimentary	Quaternary	Miami Limestone	Pleistocene	Phanerozoic	Cenozoic	Quaternary	Pleistocene	0.0117	2.58	Major	Sedimentary	Carbonate	Limestone	Sedimentary - Carbonate - Limestone	47.99391479	0.143820171	18.79999951	5404	0.206673366	1018.218215	0.010495796	13.02571688	0	deep	-2.995732274
260053080144701	1584077.589	461025.7511	soflsus1	2/12/1998	2100	SUS	1	USGS	26.0154	-80.2459	P	U	111	NA	N400BISCYN	111		0.099	<	0.01		0.099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098474049	0.003562345	3.459756	2.987482	17.99689	9.827508	2248.13	2609.12	3681.667984	0.067004803	1.553349266	3.012194421	81.72435111	63.12750194	1.226139289	41.38303848	95.7368608	1.25094554	59.47933884	11.69421488	1.925619835	47.8	NA	545.1138731	NA	NA	Sedimentary	Quaternary	Miami Limestone	Pleistocene	Phanerozoic	Cenozoic	Quaternary	Pleistocene	0.0117	2.58	Major	Sedimentary	Carbonate	Limestone	Sedimentary - Carbonate - Limestone	47.47641718	0.339709669	16.91020607	226.7317073	0.154241982	5532.876938	0.074630431	17.16575094	0.008805924	deep	-2.312635429
260204097443701	-176066.825	333114.5117	clowpas1	9/9/2013	1600	PAS	3	USGS	26.0343	-97.7435	P		NA	NA	S100CSLLWD	NA	<	0.04	<	0.001	<	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.80827637	0.613097545	NA	NA	NA	NA	0	0	0.941176471	0.184024879	1.484490122	27.27234323	13.83708845	13.1902335	0.625336647	43.98150635	35.28959002	37.43806676	0	0.769230769	0	NA	NA	0	NA	NA	Sedimentary	Quaternary	"Alluvium in Rio Grande, subdivided into areas predominantly of sand"	Holocene	Phanerozoic	Cenozoic	Quaternary	Holocene	0	0.0117	Major	Unconsolidated	Fine-detrital	Silt	Unconsolidated - Fine-detrital - Silt	47.73845825	0.125985474	12.11720456	NA	0.145397258	450.65096	1.420420074	21.41204281	9.670633	deep	-3.218875825
