"PrincipalAquifer","SuCode","State","STAID","DATES","NAWQA_ID","R65064","P65064","R65065","P65065","R65066","P65066","R65067","P65067","R65068","P65068","R65069","P65069","R65070","P65070","R65072","P65072","R61678","P61678","R65078","P65078","R65080","P65080","R61679","P61679","R65084","P65084","R61680","P61680","R65085","P65085","R61682","P61682","R61683","P61683","R65087","P65087","R65088","P65088","R65089","P65089","R65090","P65090","R65091","P65091","R61685","P61685","R65093","P65093","R65098","P65098"
"Biscayne aquifer","biscpas1","FL",261831080073201,"6/20/2016","BISCPAS1-05","<","9","NA","8.2973","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","NA","14.4076","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"High Plains aquifer","hpaqpas1","CO",384921102220901,"8/4/2015","HPAQPAS1-06","<","10","NA","3.5139","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Basin and Range aquifers","bnrfpas1","NV",392200114480001,"11/5/2013","BNRFPAS1-35","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","NA","NA","<","3"
"Basin and Range aquifers","bnrfpas1","UT",403048112023501,"8/12/2013","BNRFPAS1-69","<","9","NA","15.3084","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Edwards-Trinity aquifer system","edtrpas1","TX",312827097064001,"12/20/2016","EDTRPAS1-25","<","10","<","6.8","<","8","<","50","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Rio Grande aquifer system","rgaqpas1","NM",321516107444801,"6/11/2014","RGAQPAS1-11","<","10","<","5","<","8","<","50","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","10"
"Southeastern Coastal Plain aquifer system","secppas1","SC",335934079332800,"8/28/2013","SECPPAS1-C-27","<","9","<","5","<","10","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","250","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Cambrian-Ordovician aquifer system","cmorpas1","WI",425837090375701,"7/8/2014","CMORPAS1-35","<","10","NA","10.2544","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Valley and Ridge and Piedmont and Blue Ridge carbonate-rock aquifers","vpdcpas1","VA",382843078363101,"8/22/2013","VPDCPAS1-39","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","NA","2.9789","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Cambrian-Ordovician aquifer system","cmorpas1","IA",421903092112601,"5/5/2014","CMORPAS1-18","<","9","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Colorado Plateaus aquifers","coplpas1","UT",403107109323501,"9/26/2017","COPLPAS1-33","<","25","<","6.8","<","8","<","25","<","25","<","10","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
